User_ID,Loan_ID,City,Age,Job,Education,Marriage_Status,Account_Balance,Loan_Amount,Credit_Score,Debit_Transactions,Loan_Duration_Months,Application_Date,Current_Balance
U2169,L532233,Quetta,39.0,Clerk,Matric,Married,269967.77,29744.65,554.61,8955.54,45,2024-11-26,139275.96
U2807,L516508,Karachi,33.0,Driver,Matric,Married,246231.68,365315.52,606.98,14781.58,6,2024-08-18,61391.92
U4536,L471613,Peshawar,41.0,Manager,Bachelor,Divorced,202981.52,26227.4,629.32,15126.12,59,2024-01-27,115353.44
U9628,L354161,Lahore,50.0,Doctor,Matric,Married,167653.16,40761.15,744.38,18308.41,9,2022-09-19,136059.95
U8765,L650075,Karachi,32.0,Teacher,PhD,Married,234911.17,-6808.44,677.83,5431.99,35,2022-08-23,50588.27
U9245,L501841,Rawalpindi,32.0,Clerk,Matric,Single,219674.27,56398.81,583.23,19147.97,17,2024-08-19,101679.14
U8345,L553205,Faisalabad,50.0,Unemployed,Intermediate,Single,244759.66,50036.16,674.3,-3930.74,40,2025-02-09,96859.39
U9220,L690872,Karachi,42.0,Doctor,Intermediate,Divorced,231758.59,25487.34,572.63,10590.81,18,2023-01-01,74176.78
U3943,L492114,Lahore,30.0,Engineer,Master,Married,252477.64,69777.37,704.13,11582.08,57,2025-05-14,103694.27
U5062,L632767,Faisalabad,40.0,Clerk,Intermediate,Divorced,173238.24,78127.1,626.44,19433.29,36,2024-03-15,75988.54
U8462,L514482,Lahore,30.0,Unemployed,Matric,Divorced,1595218.2000000002,1773.2,945.32,15158.42,43,2025-04-29,154972.28
U7926,L465669,Peshawar,30.0,Driver,,Single,209879.98,27118.26,716.29,5161.06,48,2023-07-20,74934.23
U6282,L610179,Multan,37.0,Engineer,Matric,Married,303763.04,26925.73,585.64,8105.05,28,2022-09-28,131679.16
U7442,L720080,Islamabad,15.0,Doctor,PhD,Married,165540.61,21802.91,580.14,16390.76,9,2022-12-21,33784.54
U2313,L353647,Lahore,17.0,Teacher,Matric,Married,286798.19,74884.25,620.82,14446.53,57,2025-02-05,93527.61
U8523,L111238,Rawalpindi,29.0,Manager,PhD,Single,209895.54,44185.22,701.92,10946.13,21,2025-02-10,100492.45
U6478,L710011,Rawalpindi,24.0,Teacher,Intermediate,Single,167429.1,42064.55,574.03,11634.16,12,2024-01-05,92228.36
U3803,L880460,Quetta,38.0,Salesman,Bachelor,Divorced,175805.71,-10115.87,508.39,19873.18,27,2022-09-02,84147.27
U7748,L564054,Islamabad,25.0,Teacher,Matric,Single,183982.63,69062.54,627.44,11376.15,34,2024-05-12,73299.4
